id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,cta,time_to_cta_minutes
20640570,1,41.719590000000004,-87.67865,1,0.5,25.0,0.0,0.0,0.0,2,30,2,30,0,24,43,17,0.0,66.21
21678923,19,41.946509999999996,-87.65011,6,1.0,110.0,0.0,35.0,0.0,1,1125,2,1125,0,0,1,0,3.0,5.14
21856463,1,41.903040000000004,-87.67278,5,2.0,200.0,300.0,110.0,30.0,1,1125,1,1125,11,265,18,5,2.0,6.39
42891037,0,41.88933,-87.65677,4,2.0,89.0,0.0,0.0,10.0,1,3,1,3,1,1,0,0,4.0,10.58
39777001,1,41.975390000000004,-87.7768,4,1.0,30.0,0.0,25.0,10.0,1,25,2,1125,19,169,33,33,0.0,87.46
37895616,1420,41.87149,-87.62472,2,1.0,133.0,0.0,250.0,0.0,30,1125,730,1125,4,339,0,0,8.0,6.45
17713737,2,41.94696,-87.65329,6,1.0,700.0,100.0,150.0,50.0,2,1125,2,1125,30,121,106,48,4.0,1.46
11952599,81,41.887879999999996,-87.61565999999998,4,2.0,204.0,0.0,120.0,0.0,31,1124,31,1124,30,365,4,0,3.0,17.59
16853744,4,41.91016,-87.66808,8,2.0,98.0,500.0,109.0,25.0,4,1124,4,1125,30,359,137,15,2.0,10.59
33636138,3,41.85694,-87.67701,5,1.0,89.0,0.0,75.0,15.0,1,90,2,1125,19,109,93,90,3.0,5.98
32813499,0,41.90504,-87.6659,3,1.0,99.0,0.0,25.0,10.0,1,7,1,7,22,82,11,11,3.0,3.78
40439539,1420,41.892179999999996,-87.61717,2,1.0,133.0,0.0,250.0,0.0,30,1125,730,1125,0,315,0,0,4.0,11.38
39775990,0,41.77624,-87.72068,2,1.0,50.0,0.0,0.0,10.0,1,20,1,1125,0,0,3,3,0.0,62.33
28832946,15,41.9275,-87.63982,2,1.0,71.0,0.0,35.0,20.0,1,1125,1,1125,30,100,112,73,0.0,60.32
7304165,1,41.840559999999996,-87.64173000000002,3,1.0,115.0,265.0,85.0,25.0,2,1125,2,1125,0,42,77,9,2.0,15.48
37125424,2,41.887229999999995,-87.6445,3,1.0,250.0,400.0,95.0,80.0,3,90,3,1125,30,153,6,6,7.0,4.48
10548171,48,41.95345,-87.65493000000002,2,2.0,85.0,0.0,24.0,0.0,1,1125,7,1125,21,60,102,23,2.0,3.06
30447991,47,41.88483,-87.64459000000002,4,1.0,399.0,250.0,65.0,20.0,1,365,21,365,0,0,64,46,6.0,3.84
29157741,4,41.89767,-87.69147,16,3.0,650.0,500.0,150.0,25.0,2,1125,2,1125,25,175,12,7,0.0,87.87
7182203,1,41.95724000000001,-87.68769,5,1.0,79.0,100.0,69.0,20.0,2,60,2,60,3,53,130,27,2.0,15.2
36492735,0,41.855309999999996,-87.6688,2,1.0,89.0,0.0,25.0,20.0,2,1125,2,1125,25,85,8,8,2.0,3.78
19574382,10,41.91324,-87.63969,9,3.0,400.0,0.0,175.0,25.0,4,180,4,180,16,313,32,14,2.0,4.86
21690615,2,41.94743,-87.65906,12,2.0,600.0,500.0,100.0,25.0,1,1125,1,1125,27,237,28,13,5.0,6.8
20053035,4,41.94166,-87.73101,2,1.0,120.0,0.0,45.0,0.0,2,1124,2,1124,7,316,366,134,1.0,20.97
6133578,1,41.8585,-87.66920999999998,4,1.5,85.0,0.0,10.0,15.0,1,10,1,10,30,313,407,86,2.0,2.25
43059209,24,41.7627,-87.66911,2,2.0,49.0,0.0,0.0,0.0,32,1125,32,1125,26,249,0,0,0.0,98.58
33042028,44,41.92672,-87.6538,5,1.0,300.0,0.0,75.0,0.0,1,150,4,150,4,119,54,50,3.0,2.43
42625077,2,41.93759,-87.71726,10,2.0,299.0,0.0,0.0,0.0,7,30,7,1125,5,44,0,0,2.0,6.38
42951283,1420,41.8988,-87.62980999999998,2,1.0,130.0,0.0,250.0,0.0,30,1125,730,1125,0,306,0,0,3.0,4.33
16353834,8,41.89087,-87.62262,4,1.0,199.0,0.0,90.0,0.0,30,365,30,365,23,83,3,0,9.0,8.4
40704392,39,41.86035012267029,-87.66312724087837,2,1.0,14.0,500.0,60.0,50.0,32,1125,32,1125,30,365,0,0,1.0,8.65
38540686,10,41.91404,-87.63829,10,4.0,475.0,0.0,195.0,25.0,5,270,5,1125,22,300,1,1,2.0,5.43
15889904,8,41.78181,-87.59971,2,1.0,40.0,0.0,10.0,15.0,5,1125,5,1125,29,364,39,0,1.0,9.58
35993643,0,41.937,-87.68330999999998,6,1.0,170.0,250.0,70.0,30.0,2,31,2,31,0,0,15,15,,
41180293,1,41.95503,-87.75017,1,1.5,16.0,0.0,0.0,0.0,2,1125,2,1125,29,179,0,0,1.0,15.41
41475615,1,41.980709999999995,-87.67208000000002,6,1.0,300.0,1000.0,100.0,25.0,2,1125,2,1125,30,365,0,0,0.0,91.36
28047906,1,41.88162,-87.64175,2,1.0,96.0,0.0,0.0,0.0,1,1125,1,1125,0,0,0,0,9.0,6.95
28015605,3,41.96248,-87.65399000000002,2,1.0,75.0,0.0,0.0,0.0,3,10,3,1125,0,0,5,3,3.0,5.79
40306032,0,41.940459999999995,-87.75968,8,1.0,129.0,0.0,65.0,0.0,1,1125,1,1125,0,79,0,0,0.0,48.86
14569864,3,41.80164,-87.60333,1,1.0,26.0,0.0,0.0,0.0,30,1125,30,1125,28,363,3,1,0.0,69.37
38258027,2,41.95771,-87.64888,5,1.0,270.0,0.0,30.0,22.0,2,1125,2,1125,0,10,1,1,2.0,11.22
40531397,104,41.891040000000004,-87.61706,5,2.0,199.0,0.0,121.0,0.0,1,1125,3,1125,30,325,3,3,5.0,14.81
38750982,2,41.90166,-87.68581,6,1.0,160.0,250.0,100.0,0.0,2,31,2,31,22,82,1,1,1.0,19.23
36139665,6,41.89107,-87.63759,4,2.0,250.0,250.0,35.0,0.0,2,1125,2,1125,0,0,3,3,10.0,6.8
39112741,769,41.87674000000001,-87.64646,4,1.0,110.0,400.0,101.0,5.0,4,1125,4,365,14,316,3,3,3.0,4.89
32896741,2,41.85805,-87.62089,2,1.0,90.0,0.0,15.0,0.0,2,30,2,30,0,0,6,3,2.0,12.62
7772110,5,41.88664,-87.6509,10,2.5,555.0,495.0,125.0,45.0,2,364,2,1125,1,247,158,27,3.0,2.11
42601981,1420,41.883379999999995,-87.6519,2,1.0,122.0,0.0,250.0,0.0,30,1125,730,1125,7,342,0,0,5.0,4.08
20404890,1,41.90147,-87.67785,2,1.0,60.0,0.0,0.0,0.0,1,28,1,28,0,0,130,48,2.0,13.1
27193543,2,41.93417,-87.70837,3,1.0,125.0,0.0,35.0,75.0,2,60,2,60,0,0,49,21,2.0,6.38
31055263,1,41.91277,-87.7079,9,2.5,250.0,400.0,125.0,10.0,1,27,1,1125,0,140,19,14,,
18096865,7,41.89376,-87.61686,6,2.0,540.0,1000.0,100.0,35.0,28,1125,28,1125,6,333,20,2,4.0,14.02
16486129,8,41.85657,-87.69344,2,1.0,28.0,0.0,0.0,0.0,1,1125,1,1125,30,354,218,40,2.0,4.5
40119907,1,41.90161,-87.62749000000002,2,1.0,100.0,0.0,0.0,0.0,1,1125,1,1125,29,179,0,0,3.0,6.73
29632125,11,41.88709,-87.63418,8,2.0,299.0,0.0,143.0,0.0,3,1125,3,1125,0,0,43,29,14.0,3.85
24077069,7,41.87744,-87.64437,1,1.5,10.0,0.0,0.0,0.0,1,14,1,14,28,38,92,17,5.0,5.68
40837290,0,41.892559999999996,-87.62079,4,1.0,150.0,0.0,15.0,5.0,2,1125,2,1125,0,0,5,5,5.0,9.43
12778664,2,41.944109999999995,-87.68078,8,2.5,175.0,500.0,200.0,35.0,2,1125,2,1125,28,249,73,18,2.0,9.81
35611753,2,41.82205,-87.6119,6,1.0,100.0,0.0,50.0,15.0,2,1125,2,1125,30,90,29,29,2.0,17.65
41804563,554,41.89482,-87.62978000000004,4,1.0,149.0,250.0,75.0,0.0,4,28,4,28,29,364,0,0,3.0,4.1
