id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
412182,41.91891,-87.69901999999998,4,1.0,69.0,2,1125,21,143,26,91.0,35.0,20.0,0.0,2.0,5.88
422214,41.89843,-87.66659,16,4.0,250.0,3,90,29,131,14,100.0,32.0,27.0,0.0,2.0,8.67
446474,41.90095,-87.68181,5,2.0,175.0,3,60,0,4,0,96.0,38.0,27.0,0.0,1.0,16.08
450648,41.86614,-87.62275,2,1.0,119.0,3,1125,0,38,0,34.0,17.0,17.0,0.0,2.0,5.55
464581,41.92451,-87.69385,4,1.0,49.0,2,360,9,622,75,84.0,32.0,20.0,0.0,2.0,6.54
484898,41.97053,-87.67267,6,1.5,225.0,3,30,0,14,0,40.0,15.0,13.0,0.0,2.0,11.78
488097,41.91173,-87.6731,2,1.0,60.0,3,180,0,19,5,123.0,37.0,34.0,0.0,2.0,6.63
496809,42.00435,-87.67501,2,1.0,85.0,3,90,16,36,0,28.0,10.0,4.0,0.0,1.0,16.45
507517,41.96714,-87.69611,4,1.0,95.0,2,30,0,284,26,32.0,13.0,17.0,0.0,3.0,3.61
533831,41.91269000000001,-87.6425,8,2.5,280.0,2,365,30,55,4,96.0,37.0,24.0,0.0,4.0,8.66
537419,41.94286,-87.63919,1,1.0,130.0,1,30,30,28,0,64.0,34.0,18.0,0.0,0.0,18.24
542067,41.93142,-87.69989,4,1.0,125.0,3,31,0,260,17,80.0,40.0,18.0,0.0,1.0,10.51
548905,41.82293,-87.61559,3,1.0,85.0,2,32,15,227,19,1.0,1.0,3.0,0.0,2.0,10.18
573540,41.94284,-87.63919,3,2.0,490.0,1,1125,30,35,0,64.0,34.0,18.0,0.0,0.0,18.27
584590,41.96425,-87.68359,2,1.0,75.0,1,90,30,43,1,52.0,20.0,21.0,0.0,4.0,8.92
585353,41.88961,-87.66268000000002,3,2.0,42.0,1,60,0,127,15,92.0,30.0,18.0,0.0,3.0,13.31
585356,41.89003,-87.66241,4,2.0,74.0,1,60,30,143,28,94.0,27.0,17.0,0.0,3.0,13.44
589939,41.89054,-87.66261,4,2.0,56.0,1,60,29,66,11,90.0,27.0,17.0,0.0,3.0,13.97
