id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
450648,1,41.86614,-87.62275,2,1.0,119.0,200.0,75.0,35.0,3,1125,3,1125,0,112,38,0
464581,3,41.92451,-87.69385,4,1.0,49.0,0.0,49.0,15.0,2,360,7,1125,9,81,622,75
484898,1,41.97053,-87.67267,6,1.5,225.0,100.0,100.0,20.0,3,30,3,30,0,0,14,0
488097,1,41.91173,-87.6731,2,1.0,60.0,500.0,0.0,0.0,3,180,3,180,0,141,19,5
496809,3,42.00435,-87.67501,2,1.0,85.0,0.0,25.0,20.0,3,90,3,90,16,329,36,0
507517,1,41.96714,-87.69611,4,1.0,95.0,0.0,50.0,10.0,2,30,2,30,0,285,284,26
533831,2,41.91269000000001,-87.6425,8,2.5,280.0,250.0,145.0,45.0,2,365,4,1125,30,165,55,4
537419,2,41.94286,-87.63919,1,1.0,130.0,500.0,25.0,25.0,1,30,1,30,30,365,28,0
542067,1,41.93142,-87.69989,4,1.0,125.0,0.0,40.0,25.0,3,31,3,31,0,325,260,17
548905,2,41.82293,-87.61559,3,1.0,85.0,350.0,50.0,15.0,2,32,2,32,15,341,227,19
573540,2,41.94284,-87.63919,3,2.0,490.0,800.0,25.0,30.0,1,1125,1,1125,30,365,35,0
584590,4,41.96425,-87.68359,2,1.0,75.0,0.0,30.0,10.0,1,90,3,90,30,180,43,1
585353,6,41.88961,-87.66268000000002,3,2.0,42.0,150.0,25.0,20.0,1,60,1,60,0,284,127,15
585356,6,41.89003,-87.66241,4,2.0,74.0,150.0,30.0,35.0,1,60,1,60,30,349,143,28
589939,6,41.89054,-87.66261,4,2.0,56.0,150.0,25.0,20.0,1,60,1,60,29,364,66,11
611839,1,41.93537,-87.67945999999998,1,1.0,42.0,0.0,30.0,0.0,2,60,2,1125,0,0,160,33
628149,6,41.89056,-87.66086,2,2.0,63.0,100.0,20.0,20.0,1,125,1,125,30,362,96,19
634310,2,41.99667,-87.66213,2,1.0,65.0,250.0,0.0,15.0,2,1125,2,1125,30,357,81,1
640841,2,41.94242,-87.67134,4,2.5,200.0,300.0,80.0,50.0,3,14,5,1125,30,229,46,25
642053,11,41.90567,-87.67311,4,1.0,81.0,0.0,35.0,0.0,2,365,3,365,30,136,11,3
642065,11,41.90686,-87.67319,4,1.0,113.0,0.0,50.0,0.0,2,365,3,365,30,136,39,8
651742,2,41.99244,-87.75569,2,1.0,75.0,0.0,0.0,0.0,2,180,2,180,21,356,66,15
662034,2,41.99201,-87.75719000000002,2,1.0,65.0,0.0,0.0,0.0,2,180,2,180,29,364,66,15
681842,2,41.99348,-87.68121,1,1.0,50.0,200.0,9.0,40.0,3,10,3,10,28,363,26,5
697634,2,41.90302,-87.63499,4,1.0,99.0,300.0,95.0,0.0,31,1125,31,1125,0,0,150,3
699284,1,41.92929,-87.64895,12,3.0,800.0,1000.0,200.0,25.0,3,365,3,365,28,363,44,1
724895,6,41.88999,-87.66096,2,2.0,44.0,100.0,20.0,15.0,1,30,1,30,30,336,130,20
726376,5,41.93932,-87.65218,2,1.0,85.0,0.0,0.0,15.0,7,65,7,65,28,37,623,60
727847,3,41.92255,-87.70293000000002,2,1.0,60.0,0.0,30.0,20.0,2,365,2,1125,30,365,73,8
731232,0,41.92669,-87.699,5,1.0,90.0,0.0,40.0,20.0,2,365,2,365,27,344,134,18
739495,1,41.97847,-87.68087,4,1.0,75.0,0.0,70.0,25.0,4,30,4,30,29,221,186,24
753809,81,41.88624,-87.61565999999998,3,1.0,94.0,0.0,80.0,0.0,31,1122,31,1122,30,365,13,0
755701,4,41.92997,-87.72061,5,1.0,135.0,0.0,200.0,50.0,5,1125,5,1125,0,235,19,0
764856,3,41.88676,-87.64935,2,1.0,159.0,200.0,35.0,0.0,2,120,2,120,29,154,235,60
773127,2,41.94994000000001,-87.682,2,2.0,84.0,0.0,20.0,25.0,2,14,2,14,0,0,128,0
