id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,cta,time_to_cta_minutes
1947,4,41.90246,-87.63405,2,1.0,59.0,100.0,0.0,0.0,14,60,18,60,0,3,4,2,3.0,4.66
2384,1,41.7879,-87.5878,1,1.0,55.0,0.0,20.0,0.0,2,90,2,1125,22,322,178,30,0.0,99.45
4505,1,41.85495,-87.69696,7,1.0,117.0,0.0,30.0,20.0,2,60,2,60,0,146,394,27,2.0,6.39
7126,2,41.90289,-87.68182,2,1.0,80.0,0.0,0.0,0.0,2,60,2,60,29,335,384,48,1.0,14.01
9811,10,41.91769,-87.63788000000002,4,1.0,150.0,0.0,85.0,25.0,4,180,4,180,4,320,49,16,2.0,11.24
10610,5,41.79612,-87.59261,2,1.0,35.0,200.0,50.0,7.0,2,365,2,365,28,268,44,6,0.0,83.96
10945,10,41.91183,-87.64,4,1.0,215.0,0.0,100.0,25.0,4,180,4,180,8,302,17,8,3.0,3.1
12140,1,41.92335,-87.64950999999998,2,1.0,289.0,0.0,0.0,25.0,2,7,2,7,0,141,4,0,2.0,5.76
24833,8,41.926790000000004,-87.65521,3,1.0,99.0,200.0,80.0,10.0,32,395,32,395,30,90,37,0,3.0,4.03
25879,8,41.92693,-87.65753000000002,6,1.0,99.0,300.0,150.0,5.0,32,300,32,300,0,263,47,3,3.0,6.89
28749,3,41.92083,-87.6801,6,2.0,200.0,200.0,150.0,25.0,2,10,2,10,23,310,47,0,1.0,14.47
37738,2,41.97385,-87.66539,2,1.5,77.0,0.0,0.0,37.0,3,90,3,90,30,316,250,9,3.0,7.6
39742,1,41.89377,-87.63465,2,1.0,75.0,0.0,0.0,0.0,2,14,2,14,0,0,500,33,7.0,4.13
44020,8,41.92673,-87.65731,6,1.0,80.0,200.0,240.0,8.0,32,290,90,290,30,270,52,1,3.0,6.15
71930,3,41.89615,-87.67934,2,1.0,59.0,0.0,30.0,20.0,3,90,3,1125,0,176,67,9,,
79101,5,41.96792,-87.65756999999998,6,1.5,180.0,0.0,30.0,50.0,2,365,2,365,20,310,150,4,3.0,2.3
84042,3,41.89615,-87.67934,2,1.0,55.0,0.0,30.0,20.0,3,90,3,1125,23,171,75,21,,
110705,5,41.9693,-87.65621,2,1.0,99.0,0.0,0.0,0.0,2,365,2,365,20,310,148,16,4.0,2.5
126280,1,41.96852,-87.65225,1,1.0,48.0,0.0,20.0,15.0,3,365,3,1125,0,199,162,22,3.0,6.83
145659,21,41.94342,-87.68121,8,2.0,275.0,0.0,50.0,20.0,2,1125,5,1125,28,356,25,12,2.0,11.35
