id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
2163634,1,41.99462,-87.7795,5,1.0,95.0,100.0,70.0,10.0,1,1125,1,1125,30,213,173,25
30669952,3,41.9353,-87.65777,8,3.0,275.0,500.0,80.0,15.0,1,21,3,21,25,102,50,41
21401178,1,41.96903,-87.68089,2,1.0,75.0,0.0,19.0,11.0,1,30,1,1125,0,90,72,42
16996930,1,41.89866,-87.66693000000002,2,2.0,45.0,0.0,40.0,30.0,5,28,5,1125,0,0,34,6
4867834,1,41.90931,-87.69758,1,1.0,60.0,0.0,0.0,20.0,1,1125,2,1125,0,0,7,7
40681290,0,41.93875,-87.68366,4,1.0,61.0,250.0,60.0,0.0,2,14,2,1125,25,43,2,2
36727196,1,41.77981,-87.59427,6,1.0,99.0,0.0,75.0,0.0,2,1125,2,1125,25,170,40,40
35803293,3,41.90876,-87.67407,2,1.5,159.0,200.0,70.0,50.0,1,1125,1,1125,0,0,5,5
11457931,1,41.9491,-87.65358,6,1.0,399.0,0.0,0.0,0.0,2,1125,2,1125,4,295,105,31
33040837,7,41.90552,-87.62785,2,1.0,99.0,0.0,0.0,0.0,2,28,1,1,0,14,0,0
20586078,2,41.92389,-87.72108,6,1.0,120.0,400.0,65.0,15.0,1,1125,2,1125,26,275,120,49
6741808,1,41.9387,-87.65404000000002,4,1.0,139.0,0.0,50.0,0.0,1,1125,2,1125,30,349,132,77
35743481,2,41.92404000000001,-87.70435,10,2.0,200.0,0.0,115.0,8.0,1,30,1,1125,0,61,60,60
26756448,2,41.91801,-87.71486999999998,6,1.0,106.0,250.0,69.0,0.0,2,31,2,1125,1,327,78,46
30556142,4,41.83476,-87.64995,2,1.0,35.0,0.0,18.0,0.0,1,1125,1,1125,22,172,44,35
39994934,4,41.8532,-87.6844,4,2.5,49.0,0.0,10.0,0.0,1,1125,2,1125,6,13,6,6
25344508,3,41.91873,-87.69639000000002,1,1.0,39.0,0.0,7.0,0.0,29,29,29,1125,23,83,164,73
983640,4,42.00381,-87.67081999999998,4,1.0,159.0,150.0,0.0,20.0,2,90,2,90,29,343,176,30
9007351,3,41.85368,-87.67508000000002,2,1.0,45.0,100.0,20.0,0.0,1,28,1,28,20,59,158,53
38174946,0,42.00804,-87.69328,4,1.0,95.0,0.0,125.0,30.0,2,1125,2,1125,0,49,7,7
