id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm
773127,41.94994000000001,-87.682,2,2.0,84.0,2,14,0,128,0
789429,41.96193,-87.66238,2,1.0,99.0,365,365,30,0,0
789867,41.96437,-87.67398,3,1.0,20.0,2,22,30,220,40
790016,41.96046,-87.66346,5,2.0,299.0,365,365,30,16,0
790934,42.01653,-87.68788,2,2.0,70.0,1,3,30,139,5
802613,41.92285,-87.68323000000002,4,2.0,175.0,1,1125,29,57,1
810974,42.00184,-87.66951,2,1.0,50.0,2,30,30,114,23
818109,41.89513,-87.67399999999998,3,1.0,80.0,7,160,30,18,10
824518,41.90213,-87.67598000000002,4,1.0,95.0,28,365,0,87,0
834943,41.96238,-87.68378,4,1.0,90.0,2,1125,20,54,28
841024,41.9443,-87.64661,6,2.0,239.0,32,1125,30,15,0
863120,41.9217,-87.65959000000002,2,2.5,85.0,2,1125,29,98,23
872247,41.85939000000001,-87.65271,3,1.0,125.0,7,1125,29,163,7
873628,41.89397,-87.64975,2,2.0,150.0,3,180,23,88,7
887038,41.9263,-87.65567,4,1.0,150.0,32,300,30,36,0
903996,41.92649,-87.7138,2,1.0,110.0,2,1125,3,145,18
909096,41.91105,-87.70926999999998,11,2.5,400.0,1,1125,23,200,9
926142,41.99986,-87.67155,6,1.0,180.0,1,1125,30,5,2
929914,41.91316,-87.63813,2,1.0,115.0,2,21,28,304,39
931105,41.88449,-87.69659,2,1.5,75.0,3,1125,27,23,0
949514,41.90677,-87.66788000000004,2,1.0,50.0,3,60,0,133,18
960326,41.89505,-87.65449,8,2.0,302.0,1,1125,30,265,50
966137,41.86755,-87.6788,6,1.0,269.0,2,1125,30,40,0
979841,42.00498,-87.66712,2,1.5,69.0,2,90,30,209,33
979926,42.00623,-87.66794,2,1.5,59.0,2,90,30,240,27
979942,42.00426,-87.66693000000002,2,1.5,59.0,2,90,30,233,31
983640,42.00381,-87.67081999999998,4,1.0,159.0,2,90,29,176,30
1020810,41.8943,-87.62609,2,1.0,100.0,30,365,30,30,5
1027405,41.85432,-87.70769,4,1.0,45.0,2,1125,28,6,0
1027463,41.85423,-87.70784,4,2.0,45.0,2,1125,29,10,4
1027741,41.85455,-87.70768000000002,4,1.5,45.0,2,1125,28,19,17
1032943,41.81996,-87.59978000000002,10,2.5,240.0,2,30,2,199,25
1056430,41.94376,-87.65164,2,1.0,79.0,2,30,23,320,31
1080532,41.93396,-87.64108,4,2.5,114.0,6,1125,0,29,7
1083987,41.85278,-87.62453000000002,3,1.0,85.0,30,1123,30,21,1
1096191,41.97271,-87.65236,2,1.0,55.0,30,400,0,45,6
1101458,41.88655,-87.77086,6,1.0,55.0,1,1125,29,197,24
1113259,42.01761,-87.67987,2,1.0,55.0,1,1125,29,132,43
1127661,41.91791,-87.70933000000002,2,1.0,59.0,2,45,26,238,41
1129741,41.88282,-87.72026,2,2.0,80.0,7,1125,0,0,0
1171860,41.92628,-87.64026,2,1.0,50.0,7,65,22,532,58
1183249,41.9395,-87.64483,2,1.0,79.0,7,65,22,500,58
1185749,41.87086,-87.68305,6,1.0,99.0,3,90,30,314,39
1195259,41.91095,-87.67783,3,1.0,135.0,4,1124,30,180,11
1225964,41.93804,-87.64134,2,2.0,70.0,2,29,23,9,0
1229238,41.94735,-87.75761999999996,10,2.0,210.0,1,2,20,95,14
1229267,41.94556,-87.75419000000002,2,1.0,40.0,1,5,27,11,3
1249397,41.97009,-87.67423000000002,5,2.0,130.0,1,1125,0,11,1
1296053,41.82147,-87.60086,2,1.0,75.0,1,1125,29,27,0
1296218,41.82184,-87.60129,2,1.0,75.0,1,15,29,23,1
1304049,41.8719,-87.68486,2,1.0,100.0,1,1125,30,103,7
1321332,41.92913,-87.66920999999998,16,3.5,395.0,2,60,27,74,11
1325769,41.91355,-87.63675,1,1.0,198.0,1,30,29,23,2
1333431,41.82179,-87.59985999999998,6,1.0,200.0,1,15,30,6,0
1356190,41.92083,-87.68896,2,1.0,90.0,1,1125,29,304,92
1361421,41.9459,-87.65460999999998,2,11.0,80.0,1,14,22,28,10
1369384,41.95564,-87.71154,2,1.0,60.0,2,7,0,125,0
1392594,41.96952,-87.67239000000002,8,2.0,168.0,3,28,4,24,3
1427950,41.98496,-87.66806,2,1.0,120.0,3,31,0,79,13
1428589,41.82781,-87.60523,3,1.5,50.0,1,1125,24,273,17
1434078,41.92989,-87.64103,6,1.5,380.0,12,1125,27,14,1
1461451,42.01653,-87.68788,1,2.0,25.0,1,1125,30,151,14
1468342,41.81266,-87.61586,2,1.0,65.0,2,7,29,123,18
1475647,42.01653,-87.68788,1,2.0,25.0,1,1125,7,97,16
1502674,41.91307000000001,-87.64012,5,1.0,158.0,4,180,23,36,17
1502700,41.91406,-87.63934,10,2.0,425.0,4,120,21,16,3
1541692,41.82936,-87.6048,2,1.0,55.0,3,7,22,94,17
1554433,41.71348,-87.67195,2,1.5,90.0,2,1125,27,162,21
1573401,41.85763,-87.66235999999998,4,1.0,65.0,2,14,0,187,61
1584422,41.90607,-87.6488,10,3.0,344.0,3,21,0,26,3
1584509,41.90697,-87.62941,11,5.0,475.0,2,1125,25,53,8
1587078,41.91638,-87.68422,4,1.0,149.0,2,1125,29,293,34
1591370,42.01114000000001,-87.67634,6,1.0,90.0,2,29,30,93,25
1614802,41.93455,-87.66141,3,1.0,60.0,4,90,28,271,43
1623463,41.859,-87.6462,6,1.0,135.0,2,31,29,40,11
1641601,41.97282,-87.67257,2,1.0,69.0,2,120,30,275,35
1648786,41.72836,-87.6136,4,1.0,32.0,2,30,22,84,19
1656336,41.82516,-87.67456,4,1.0,95.0,1,30,16,269,33
1663673,41.89322,-87.68571999999998,4,1.0,99.0,2,1125,29,317,46
1668481,41.89665,-87.69719,4,1.0,82.0,45,185,0,109,1
1672647,41.99892,-87.67322,7,1.0,109.0,7,365,17,224,24
1678422,41.93465,-87.65754,2,1.0,75.0,1,8,30,28,2
1721045,41.89003,-87.66254,2,2.0,71.0,1,60,30,94,22
1746734,41.79984,-87.59465,2,1.0,101.0,2,1125,30,337,32
1755737,41.94036,-87.64068,2,2.0,155.0,365,730,28,0,0
1759266,41.93396,-87.65897,6,1.0,250.0,3,365,0,32,2
1759389,41.84801,-87.68127,1,1.5,70.0,2,180,8,120,14
1778910,41.85675,-87.65501,10,1.0,69.0,1,365,30,476,86
1784523,41.93998,-87.70272,4,1.0,99.0,1,365,29,115,20
1810118,41.77892,-87.59886,3,1.0,59.0,1,1124,28,327,50
1837153,41.79963,-87.59477,2,1.0,115.0,3,1125,3,45,2
1852665,41.88575,-87.65052,3,1.0,200.0,60,1125,0,0,0
1854000,41.93283,-87.64315,2,1.0,225.0,1,1125,30,151,0
1900901,42.004,-87.67503,1,1.0,80.0,3,90,16,27,0
1917311,41.86991,-87.62856,2,1.0,200.0,3,30,30,23,0
1921670,41.94663,-87.70783,4,1.0,90.0,2,365,1,229,25
1944802,41.85453,-87.62052,4,2.0,190.0,60,1125,30,14,0
1954633,41.93101,-87.65878000000002,2,2.0,100.0,1,1125,29,179,32
1960332,41.94432000000001,-87.65988,8,2.0,519.0,3,120,29,12,9
1964520,41.94993,-87.66173,6,2.0,439.0,3,90,28,29,16
1965410,41.94943,-87.66129000000002,9,2.0,549.0,3,90,26,33,24
1989590,41.91344,-87.69031,2,1.0,55.0,3,17,30,200,26
1995991,41.9453,-87.65084,4,1.0,65.0,3,30,25,276,34
2011301,41.92118,-87.68678,2,1.0,75.0,1,1125,29,198,35
2012443,41.89278,-87.66131,2,1.0,55.0,3,1124,21,188,12
2046900,41.95611,-87.67708,4,1.0,116.0,2,1125,1,45,13
2051690,41.98864,-87.69345,2,1.0,50.0,30,60,11,20,5
2062638,41.8967,-87.65734,10,2.0,295.0,1,360,30,143,11
2075573,41.82926,-87.60859,5,1.5,60.0,1,1125,30,206,12
2087914,41.85658,-87.65423,2,1.0,120.0,1,1125,30,127,32
2093894,41.91827,-87.65263,1,1.0,85.0,1,1125,30,247,34
2103986,41.93395,-87.63923,2,1.0,75.0,1,1125,13,137,19
2139407,41.88745,-87.70784,5,1.0,83.0,1,1125,29,404,49
2163634,41.99462,-87.7795,5,1.0,95.0,1,1125,30,173,25
2189522,41.84828,-87.68021,1,1.5,70.0,2,180,18,139,12
2198953,41.92261,-87.71464,5,1.0,120.0,4,30,8,101,16
2212823,41.89309,-87.65061999999998,4,2.0,249.0,2,1125,0,50,0
2227179,41.89984000000001,-87.6764,2,1.0,100.0,5,14,25,46,5
2261568,41.91944,-87.65894,4,2.5,140.0,365,400,0,2,0
2298310,41.80379,-87.60386,2,1.0,29.0,2,1125,30,21,4
2305194,41.94594,-87.65431,4,11.0,96.0,1,14,22,51,16
2305230,41.94594,-87.65431,1,11.0,27.0,1,14,22,311,227
2320027,41.90669000000001,-87.68283000000002,4,1.0,105.0,2,28,0,158,13
2396340,41.89648,-87.65651,8,2.0,302.0,1,365,27,349,50
2429295,41.86756,-87.68661999999998,2,1.0,79.0,1,1125,30,51,10
2437230,41.94264,-87.68336,2,1.0,105.0,1,365,22,80,9
2453598,41.8877,-87.64276,2,1.0,130.0,60,365,30,7,0
2458029,41.93501,-87.64819,1,1.0,113.0,1,1125,0,14,6
2459132,41.96703,-87.75086999999998,8,1.0,95.0,2,1125,28,67,0
2473938,41.85105,-87.67942,2,1.0,60.0,30,90,0,128,18
2479175,41.96293,-87.69358000000004,2,1.0,85.0,2,18,29,169,26
2496594,41.89009,-87.62304,2,1.0,161.0,31,1124,30,4,0
2499596,41.90006,-87.68096,5,1.5,119.0,5,90,30,148,15
2509508,41.81207,-87.60417,4,1.0,85.0,3,1125,0,18,0
