id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm
18738106,41.93184,-87.68896,2,1.5,40.0,1,30,0,2,2
18743864,41.93963,-87.65158000000002,3,1.0,91.0,2,3,0,15,2
18746761,41.89573,-87.68876,8,3.0,175.0,3,10,0,5,1
18748744,41.94574,-87.74438,2,1.0,80.0,1,3,30,32,14
18749174,41.78088,-87.59383000000004,2,1.0,52.0,2,31,0,48,9
18755550,41.93475,-87.65903,8,1.0,132.0,2,120,13,46,20
18756120,41.91864,-87.65458000000002,6,1.0,350.0,1,1125,30,90,23
18756500,41.90191,-87.67405,4,1.0,100.0,2,7,27,0,0
18769456,41.78428,-87.61496,6,2.0,95.0,2,1125,21,43,14
18779737,41.9079,-87.67875,2,1.0,45.0,1,14,29,1,0
18785874,41.98027,-87.67286999999996,2,1.0,65.0,1,3,19,80,26
18786342,41.90104,-87.6718,6,1.0,80.0,2,1125,22,144,49
18820748,41.89043,-87.66083,7,2.5,350.0,3,7,30,16,5
18822176,41.89559000000001,-87.66450999999998,2,1.0,78.0,1,1125,29,67,10
18824563,41.9214,-87.71561,8,2.0,97.0,4,1125,0,4,2
18826549,41.88484,-87.65948,1,1.0,150.0,1,1125,0,0,0
18826618,41.92017,-87.71546,4,1.0,70.0,3,365,29,68,14
18836903,41.98462,-87.66688,6,2.0,225.0,2,1125,30,60,2
18837527,42.00804,-87.66333,4,2.0,175.0,3,1125,29,42,15
18853537,41.94199,-87.66169000000002,8,1.5,245.0,1,40,30,72,25
18854028,41.93576,-87.65746999999998,6,1.0,379.0,2,62,30,80,26
18855639,41.89285,-87.66143000000002,2,1.0,115.0,1,1125,8,66,24
18856449,41.9704,-87.76517,3,1.0,69.0,1,29,30,72,32
18857266,41.81176,-87.60868,6,1.0,110.0,2,1125,30,44,15
18857798,41.89981,-87.67233,1,1.0,59.0,1,4,30,31,7
18871593,41.99232,-87.71478,1,1.0,28.0,2,1125,0,35,5
18875441,41.7843,-87.61216999999998,1,1.0,46.0,2,14,22,52,24
18876938,41.89555,-87.65375999999998,12,2.0,700.0,1,1125,30,35,5
18893157,41.90762,-87.63465,4,1.0,145.0,2,1125,0,3,0
18900360,41.94815,-87.65975,10,1.5,295.0,1,10,28,85,27
18913057,41.75464,-87.66441,2,1.0,32.0,1,30,0,57,15
18918084,41.93938,-87.65541999999998,4,1.0,120.0,1,28,30,132,39
18919800,41.85693,-87.67000999999998,2,1.0,31.0,1,66,20,220,57
18928220,41.8855,-87.70656,10,1.0,59.0,7,1124,19,89,22
18932606,41.90016,-87.67551999999998,2,1.0,135.0,3,60,16,68,26
18933344,41.97059,-87.67296999999998,2,1.0,75.0,2,1125,28,1,1
18941958,41.98034000000001,-87.69015999999998,3,1.0,99.0,3,7,0,34,6
18949467,41.94377,-87.65308,8,3.5,600.0,3,1125,0,3,0
18949863,41.91681,-87.75598000000002,2,1.0,35.0,4,365,0,4,0
18963114,41.94877,-87.65146999999996,2,1.0,105.0,4,7,30,31,9
18971737,41.89556,-87.65850999999998,8,1.0,237.0,2,365,30,57,18
18978187,41.97606,-87.69088,6,1.0,69.0,4,1124,12,102,47
19000293,41.89633,-87.66235,2,1.0,65.0,1,1125,30,53,19
19008628,42.01298,-87.67381999999998,3,2.0,45.0,3,1125,0,3,0
19009981,41.79432,-87.59491,2,1.0,70.0,5,90,30,4,1
19013761,41.94462,-87.65225,4,2.0,80.0,1,1125,0,22,5
19018397,41.96451,-87.67175999999998,6,1.0,110.0,1,28,29,119,40
19018717,41.83602,-87.6556,4,1.0,69.0,1,9000,29,230,48
19018922,41.80385,-87.71764,3,1.0,599.0,1,1125,0,17,7
19038415,41.9931,-87.78361,2,1.5,60.0,1,1125,0,15,2
19038878,41.85456,-87.67829,2,1.0,46.0,3,9,29,43,12
19044554,42.01579,-87.66901,2,1.0,29.0,2,1125,30,39,9
19069348,41.90599,-87.67815999999998,4,1.0,116.0,4,1124,20,31,13
19073464,41.78194000000001,-87.60771,6,1.0,95.0,3,90,30,65,16
19084559,41.85822,-87.65904,6,1.0,114.0,2,1125,19,133,45
19087342,41.90623,-87.68288000000004,10,2.0,268.0,2,14,30,36,13
19088115,41.90023,-87.6809,6,2.0,210.0,2,1125,24,42,17
19088359,41.86079,-87.62007,2,1.5,200.0,1,7,0,9,0
19093790,41.90462,-87.6283,2,1.0,121.0,2,1125,29,84,27
19101426,41.93409000000001,-87.6396,12,1.5,350.0,1,1124,30,74,17
19101743,41.91501,-87.76106,3,1.0,50.0,2,1125,30,122,40
19113654,42.00668,-87.68313,2,1.0,35.0,2,30,0,40,9
19114011,41.83303,-87.61966,2,1.0,60.0,2,1125,29,79,14
19118210,41.955,-87.71299,2,1.5,75.0,1,31,0,94,24
19120473,41.94497,-87.66266999999998,4,2.0,295.0,2,1125,30,50,11
19123858,41.90124,-87.63056,2,1.0,59.0,1,1125,1,246,86
19124180,41.90197,-87.63043,2,1.0,94.0,1,1125,8,269,80
19131659,41.80505,-87.74871,4,1.5,120.0,2,30,16,87,25
19136596,41.83384,-87.64805,4,1.0,90.0,2,1125,30,100,30
19144279,41.99204,-87.78305999999998,2,1.5,50.0,2,1125,0,34,11
19144299,41.87942,-87.68473,3,1.0,87.0,2,6,2,12,2
19158517,41.91398,-87.6428,4,1.0,200.0,2,1125,29,114,48
19161640,41.92553,-87.66455,2,1.0,110.0,2,1125,0,7,0
19181101,41.94986,-87.65085,2,1.0,77.0,1,4,30,45,18
19182676,41.80467,-87.58608000000002,2,1.0,50.0,2,30,0,82,16
19193521,41.92951,-87.65483,12,2.0,200.0,2,180,30,83,32
19194773,41.9019,-87.68784000000002,4,1.0,80.0,2,24,0,137,48
19195727,41.94905,-87.64905,2,1.0,77.0,1,4,30,72,22
19196148,41.89846,-87.67848000000002,2,1.0,70.0,2,1125,29,23,7
19199419,41.96595,-87.76706999999998,8,2.0,200.0,1,150,25,121,45
19206443,41.84971,-87.63146,6,1.0,250.0,1,1125,0,84,33
19208339,41.91299,-87.68996,6,1.0,130.0,1,1125,27,14,5
19221071,41.90524,-87.63306,3,1.0,133.0,2,1125,0,0,0
19242207,41.90263,-87.67560999999998,1,2.0,50.0,2,90,0,134,38
19242274,41.91462,-87.64969,2,1.0,149.0,3,28,30,102,37
19243410,41.94662,-87.65556,1,1.0,150.0,2,3,23,4,0
19245639,41.93331,-87.70056,2,1.0,95.0,3,27,0,153,58
19246946,41.85208,-87.63795999999998,8,1.5,150.0,20,180,30,140,42
19249102,41.92799,-87.64088000000002,5,1.0,150.0,4,12,7,103,34
19249295,41.99537,-87.66436999999998,2,1.0,42.0,1,1125,0,2,0
19263774,42.02042,-87.66686999999996,6,1.0,48.0,2,245,29,35,10
19269442,41.97005,-87.69422,2,1.0,75.0,1,7,0,63,0
19283060,41.87358,-87.68473,3,1.0,50.0,1,4,5,203,77
19285860,41.91636,-87.70499000000002,4,1.0,109.0,14,1125,0,44,19
19308810,41.9504,-87.65016999999996,4,1.0,77.0,1,7,30,50,11
19315413,41.79558,-87.58474,2,1.0,60.0,3,60,0,10,0
19348305,41.93649,-87.64671,6,2.0,390.0,2,1125,0,1,0
19376768,41.9459,-87.64724,3,1.0,130.0,1,7,0,8,0
19399921,41.90046,-87.66332,7,2.5,399.0,3,30,0,13,2
19414085,41.9454,-87.65478,4,2.0,150.0,4,60,24,98,27
19416779,41.94234,-87.72303000000002,3,1.0,45.0,2,6,29,7,0
19422982,41.89529,-87.6268,4,1.0,100.0,2,5,30,41,12
19424810,41.98439000000001,-87.67227,4,1.0,115.0,1,1125,15,230,72
19437851,41.85076,-87.6689,7,1.0,112.0,39,39,0,33,0
19438335,41.90148,-87.67877,1,1.0,60.0,2,30,0,26,0
19451443,41.89677,-87.67814,6,1.0,125.0,2,28,28,86,25
19454398,41.84507,-87.64503,8,1.5,178.0,2,13,30,34,12
19469209,41.85021,-87.63348,1,2.0,30.0,1,365,22,132,56
19469602,41.8855,-87.70591999999998,10,1.0,59.0,5,1124,30,98,26
19474423,41.84485,-87.63988,3,1.0,70.0,1,1125,0,244,80
19474637,41.80854,-87.61437,3,1.0,75.0,2,1125,0,7,0
19483555,41.94764,-87.6513,1,1.0,55.0,30,180,0,8,2
19486763,41.84398,-87.64005999999998,2,1.0,55.0,1,1125,0,127,1
19496735,41.95569,-87.77,4,1.0,80.0,2,14,0,75,23
19526598,41.85675,-87.64605,4,1.0,101.0,2,1125,0,136,37
19526921,41.97331,-87.66346,1,1.5,30.0,3,200,30,20,2
19529540,41.93437,-87.63847,4,1.0,115.0,1,7,0,7,0
19529923,41.95638,-87.70836,2,1.0,75.0,2,90,0,52,33
19532918,41.82257,-87.60214,2,1.0,100.0,2,366,7,183,48
19551521,41.92235,-87.71664,2,1.0,98.0,2,30,28,17,2
19552092,41.8704,-87.63155,3,1.0,199.0,2,9,0,4,0
19554215,41.81774,-87.61015,2,1.0,65.0,1,30,22,39,15
19557461,41.90898,-87.69198,6,1.0,200.0,4,7,0,2,0
19571344,41.90459,-87.69575999999998,9,2.0,95.0,7,1124,28,78,24
19574382,41.91324,-87.63969,9,3.0,400.0,4,180,16,32,14
19585431,41.90397,-87.69523000000002,9,2.0,98.0,5,1124,30,88,22
19586298,41.93023,-87.69976,2,1.0,60.0,1,5,27,185,73
19603887,41.94197,-87.6407,3,1.0,125.0,3,1125,0,0,0
19604017,41.85117,-87.66898,4,1.0,59.0,2,45,0,49,0
19608906,41.88652,-87.63143000000002,2,1.0,80.0,31,1125,30,1,0
19610748,41.89272,-87.65975999999998,5,1.0,59.0,1,45,30,142,71
19619677,41.98546,-87.66399,5,1.0,210.0,5,60,30,38,13
19621987,41.92837,-87.64789,6,2.0,437.0,7,1124,30,38,14
19624563,41.93895,-87.72594000000002,6,2.0,189.0,2,1125,0,2,0
19625538,41.8787,-87.66509,4,1.0,92.0,1,1125,30,134,54
19625944,41.89842,-87.67354,5,1.0,85.0,2,10,0,32,0
19658119,41.88413,-87.62375,2,1.0,135.0,1,1125,0,4,0
19658454,41.88107,-87.64163,2,1.0,150.0,15,30,29,6,0
19658989,41.9552,-87.73908,5,1.0,76.0,1,30,30,177,58
19659523,41.90774,-87.66767,6,2.5,400.0,2,6,0,2,0
19661890,41.99738,-87.66532,4,1.0,60.0,1,45,30,166,56
19662106,41.8582,-87.69519,2,1.0,28.0,1,1125,30,204,44
19662762,41.89935,-87.68576999999998,3,1.0,56.0,1,33,0,68,50
19672865,41.98532,-87.67211999999998,2,1.0,27.0,1,1125,21,35,9
19675002,41.89396,-87.68932,2,1.0,70.0,1,5,0,1,0
19693008,41.88592,-87.61465,4,2.0,173.0,3,21,0,0,0
19708099,41.85015,-87.68576999999998,4,1.0,115.0,2,1125,30,47,18
19716151,41.90141,-87.66356,2,1.0,85.0,1,1125,0,4,0
19716246,41.91849000000001,-87.64818000000002,7,1.0,74.0,4,1124,30,107,32
19719550,41.90733,-87.68879,2,1.0,45.0,1,7,30,201,74
19720349,41.89935,-87.67305999999998,4,1.0,40.0,90,1125,0,7,1
19720703,41.85153,-87.66955,5,1.0,84.0,2,45,30,34,0
19728643,41.94558,-87.65598,12,3.0,140.0,2,60,6,104,27
19730133,41.91673,-87.65495,5,1.0,75.0,1,60,30,136,42
19731289,41.88795,-87.61743,2,1.0,150.0,2,1125,0,0,0
19734070,41.9198,-87.64849,6,1.0,72.0,4,1124,20,141,49
19745504,41.88975,-87.68275,2,1.0,49.0,3,45,30,47,14
19747110,41.95592,-87.77595,10,1.0,75.0,1,1125,21,43,23
19747441,41.97551,-87.67815,2,1.0,55.0,1,30,0,14,6
19754012,41.81176,-87.61681,4,1.5,250.0,1,1125,0,0,0
19759186,41.82533,-87.67348,6,1.0,124.0,3,28,25,81,26
19761287,41.85953,-87.66582,4,1.0,70.0,3,9,0,1,0
19791085,41.82791,-87.61958,5,1.0,52.0,2,30,0,66,4
19802859,41.9002,-87.6866,2,1.0,89.0,3,30,0,13,2
19812035,41.89644000000001,-87.6897,2,1.0,29.0,2,28,20,77,38
19820923,41.88652,-87.63143000000002,4,1.0,80.0,31,1125,14,4,1
19827093,41.96829,-87.65286,2,1.0,45.0,2,90,0,90,27
19840148,41.90987,-87.6847,6,1.0,250.0,1,1125,29,125,40
19840767,41.94752,-87.65179,1,1.0,70.0,30,1125,29,7,5
19842149,41.89686,-87.66277,4,1.0,99.0,2,300,0,50,0
19845673,41.88891,-87.64375,4,1.0,45.0,1,1125,0,2,0
19847846,41.89331,-87.62029,4,1.0,600.0,2,4,0,0,0
19856765,41.89284,-87.62418000000002,4,1.0,250.0,2,29,25,69,30
19857294,41.92584,-87.69436,2,1.0,45.0,1,1125,0,92,31
19862408,41.89511,-87.72932,1,1.0,65.0,2,1125,0,42,22
19863764,41.8614,-87.64633,9,2.5,299.0,2,30,30,39,14
19877259,41.89829,-87.66206,12,4.5,499.0,3,1125,0,34,12
19891950,41.97497,-87.66951,2,1.0,75.0,1,30,19,243,83
19893328,41.91834,-87.6523,6,1.0,199.0,1,1125,21,108,37
19903685,41.88715,-87.70529,16,3.0,598.0,3,1124,30,9,6
19914093,41.76478,-87.64567,3,1.0,45.0,2,1125,21,145,66
19914660,41.90734000000001,-87.71039,3,1.0,38.0,2,1125,0,80,25
19930442,41.90744,-87.63127,2,1.0,145.0,3,1125,0,7,0
19931172,41.95558,-87.78650999999998,8,2.0,100.0,1,1125,21,149,35
19938614,41.91214,-87.63746,10,2.5,425.0,4,150,7,37,17
19942245,41.81297,-87.61231,8,1.0,69.0,1,1125,27,76,22
19944137,41.88108,-87.66113,3,1.0,68.0,3,1124,1,156,52
19946278,41.79088,-87.58671,4,1.0,50.0,7,1125,0,0,0
19947248,41.95457,-87.78615,4,1.0,74.0,1,1125,20,123,19
19947376,41.95513,-87.67902,6,1.0,139.0,2,50,28,84,32
19949152,41.90482,-87.68384,4,1.0,99.0,2,14,30,87,31
19952090,41.92091,-87.6982,4,1.0,175.0,2,1125,15,38,8
19959804,41.9103,-87.69072,2,1.0,65.0,2,10,30,78,23
19960537,41.90947,-87.68808,10,3.0,195.0,2,30,26,62,24
19960802,41.91834,-87.71321,6,1.0,50.0,1,30,0,205,99
19964022,41.90067,-87.6629,5,2.0,240.0,2,1125,0,8,1
19964263,41.91549000000001,-87.65491999999998,4,1.0,95.0,1,30,27,96,26
19969586,41.96867,-87.77035,4,1.0,99.0,2,28,0,73,23
19978276,41.74585,-87.59446,1,1.0,45.0,30,1125,23,0,0
19982010,41.97095,-87.69278,2,1.0,74.0,2,15,0,82,39
19982288,41.97078,-87.67445,2,1.0,100.0,3,1125,0,2,0
19984762,41.91516,-87.65398,5,1.0,90.0,1,28,0,94,30
19985841,41.9018,-87.671,8,2.0,500.0,1,90,0,48,24
19986833,41.90944,-87.65004,2,1.0,110.0,1,1125,0,18,0
19998637,41.91484000000001,-87.65477,4,1.0,72.0,1,30,0,110,41
20012365,41.96941,-87.74564000000002,6,1.0,60.0,30,365,0,33,3
20016599,41.81289,-87.71243,4,1.0,80.0,2,30,0,33,11
20026411,41.91586,-87.67321,6,2.0,71.0,4,1124,22,100,30
20031445,41.93109000000001,-87.6694,1,1.0,50.0,7,31,0,1,0
20032223,41.9278,-87.64115,4,1.0,100.0,4,1125,7,15,3
20032423,41.93607,-87.63919,2,1.0,88.0,1,1125,0,0,0
20033899,41.97232,-87.67399,2,2.5,48.0,1,89,0,115,47
20035490,41.92135,-87.70382,4,1.0,115.0,2,1125,30,71,16
20036818,41.93129,-87.72119,3,1.0,55.0,1,28,22,141,37
20046383,41.88421,-87.62505,2,1.0,200.0,2,3,0,0,0
20053035,41.94166,-87.73101,2,1.0,120.0,2,1124,7,366,134
20054600,41.90031,-87.67067,5,1.0,226.0,2,15,0,7,4
20070634,41.93831,-87.66363,2,1.0,99.0,2,1125,0,16,2
20076199,41.89235,-87.62732,2,1.0,600.0,5,275,0,81,75
20086094,41.78711,-87.63362,6,1.0,22.0,3,31,30,15,9
20120441,41.91543,-87.67251999999998,6,1.0,100.0,1,30,30,25,9
20121438,41.78457,-87.61227,2,1.0,55.0,3,28,30,1,0
20126643,41.84448,-87.6384,2,3.0,49.0,1,1125,2,79,30
20126765,41.84426,-87.63846,2,2.5,10.0,1,1125,0,88,28
20126790,41.84432,-87.63847,2,2.5,49.0,1,1125,0,82,36
20133959,42.00028,-87.68224000000002,3,1.0,95.0,1,1125,30,0,0
20134949,41.94323,-87.66526,6,2.0,250.0,1,7,4,28,6
20154570,41.7498,-87.61352,2,1.0,57.0,7,1125,0,8,7
20165797,41.90377,-87.69595,16,4.0,449.0,3,1125,28,20,8
20165803,41.89203,-87.62318,4,1.0,152.0,30,1125,30,3,1
20165817,41.91072,-87.69004,4,1.0,95.0,1,55,20,97,41
20172473,41.90934,-87.67863,4,2.0,67.0,2,1125,29,51,15
20173630,41.89891,-87.77054,2,1.0,60.0,3,10,22,92,41
20176345,41.83962,-87.65984,10,2.0,108.0,2,1125,29,33,8
20177013,41.84432,-87.63847,3,2.5,69.0,1,1125,0,113,37
20177068,41.84436,-87.63847,2,2.5,45.0,1,1125,8,115,45
20181953,41.90652,-87.63829,10,3.0,400.0,1,1125,0,4,0
20191309,41.94265,-87.65266,16,1.5,99.0,2,1125,29,82,25
20192910,41.85562,-87.62038000000004,4,2.0,250.0,2,30,1,77,33
20193345,41.84432,-87.63847,2,2.5,49.0,1,1125,6,122,45
20193668,41.97084,-87.76915,1,1.0,29.0,30,150,0,1,0
20193846,41.9221,-87.70092,4,1.5,150.0,2,1125,0,9,4
20194893,41.85453,-87.67926999999996,4,1.0,95.0,1,90,28,60,20
20195126,41.94815,-87.70385,2,1.0,48.0,1,1125,0,4,2
20208487,41.79398,-87.59776,3,1.0,150.0,2,1125,0,46,13
20211131,41.99954,-87.66305,4,1.0,80.0,1,1125,30,18,0
20211259,41.93789,-87.6496,10,2.5,74.0,4,1124,30,111,30
20214683,41.86694,-87.65529000000002,2,1.0,100.0,1,3,0,0,0
20217520,41.93902,-87.65104000000002,1,1.0,150.0,2,1125,0,1,0
20222363,41.94755,-87.70482,2,1.0,48.0,1,1125,0,3,2
20227969,41.79454000000001,-87.59631999999998,4,1.0,150.0,2,1124,0,39,8
20228648,41.97024,-87.76592,6,1.0,129.0,1,29,30,75,46
20230637,41.79374,-87.59595,2,1.0,130.0,2,1125,0,42,11
20235190,41.98532,-87.67211999999998,2,1.5,30.0,1,1125,20,35,9
20237320,41.8551,-87.65243000000002,3,1.0,76.0,3,1125,28,64,11
20245113,41.93172,-87.71834,1,1.0,32.0,1,1125,0,82,0
20253418,41.89443,-87.64811,4,2.0,150.0,1,30,0,5,5
20264618,42.00755,-87.68932,2,1.5,55.0,2,1125,29,20,9
20272143,41.79714,-87.60373,3,1.0,80.0,2,5,0,22,0
20286114,41.79579,-87.59988,1,1.0,45.0,1,1125,0,66,17
20286462,41.90034,-87.67094,2,1.0,50.0,1,1125,30,95,33
20294580,41.85475,-87.67488,6,1.0,140.0,2,95,30,95,29
20306736,42.00813,-87.69036,2,1.5,45.0,2,90,0,5,5
20307202,41.94806,-87.6578,6,1.0,69.0,1,2,0,0,0
20309288,41.85789000000001,-87.6754,2,1.0,90.0,2,7,13,27,10
20319676,41.90647,-87.66735,4,1.0,120.0,1,29,23,172,59
20321044,41.83742,-87.63146,2,1.0,65.0,1,31,15,84,21
20321651,41.75475,-87.60393,6,1.0,89.0,3,7,30,58,26
20352994,41.8443,-87.72617,4,1.0,80.0,2,1125,0,141,26
20357970,41.7777,-87.65042,2,1.0,25.0,1,2,0,17,6
20358249,41.94461,-87.66091999999998,8,2.0,375.0,2,1125,19,115,41
20359172,41.91536,-87.70728000000004,4,1.0,120.0,2,28,2,76,14
20360882,41.79352,-87.59754000000002,2,1.0,150.0,2,1125,0,30,11
20361494,41.98695,-87.66093000000002,3,1.0,149.0,2,1125,29,23,10
20378811,41.94459000000001,-87.65415,7,2.0,200.0,2,1125,29,69,24
20379044,41.94669,-87.66658000000002,6,1.0,189.0,2,1125,20,111,46
20379610,41.8951,-87.65589,5,1.0,150.0,1,1125,30,156,65
20381591,41.93957,-87.65715,5,1.0,90.0,2,17,30,107,50
20404890,41.90147,-87.67785,2,1.0,60.0,1,28,0,130,48
20406582,41.96832,-87.70654,5,1.0,85.0,2,1125,9,179,80
20409562,41.84784000000001,-87.64484,3,1.0,51.0,7,7,3,208,66
20413421,41.92376,-87.68423,4,1.0,109.0,1,30,30,192,61
20420859,41.86948,-87.68249,4,1.0,50.0,2,21,0,114,36
20422159,41.93596,-87.66013000000002,4,1.0,120.0,1,1125,30,96,42
20422537,41.9518,-87.70219,8,3.0,150.0,4,1125,28,9,1
20425593,41.93476,-87.6504,4,1.0,175.0,1,28,30,71,20
20427016,41.90867,-87.7107,5,1.0,75.0,2,1125,21,168,51
20433458,41.94584,-87.74743000000002,2,1.0,50.0,2,10,0,54,12
20435794,41.85752,-87.66216,2,1.0,35.0,1,10,27,164,76
20438390,42.00062,-87.66953000000002,2,1.0,100.0,2,5,30,50,20
20454596,41.96229,-87.66529,2,1.0,70.0,2,1125,2,20,11
20456769,41.91366,-87.67765,2,1.0,110.0,1,3,7,4,3
20457194,41.92247,-87.69731,5,1.0,119.0,1,1125,25,141,35
20457252,41.92378,-87.69892,2,1.0,94.0,1,12,7,166,51
20458572,41.87694000000001,-87.6777,4,2.0,90.0,2,14,29,169,68
20462579,41.89463,-87.66082,6,1.5,297.0,2,30,22,17,9
20479262,41.91075,-87.6797,6,1.0,202.0,2,1125,29,42,14
20484760,41.89822,-87.66226,8,1.0,250.0,1,1125,27,122,32
20492835,41.86467,-87.6836,3,1.0,35.0,2,1125,30,102,34
20497895,41.95399999999999,-87.6696,2,1.0,80.0,1,1125,0,239,90
20498813,41.98205,-87.6705,2,1.0,89.0,1,1125,0,117,39
20499710,41.91857,-87.67381999999998,4,1.0,79.0,5,1124,24,125,47
20501142,41.76838,-87.5695,3,1.0,43.0,1,1125,29,35,10
20503650,41.92038,-87.7312,6,1.0,119.0,3,1125,0,24,7
20517017,41.93719,-87.69924,4,1.0,47.0,3,1124,10,84,34
20519090,41.91743,-87.65483,7,1.0,160.0,1,28,24,129,45
20521486,41.91495,-87.68473,2,1.0,55.0,1,15,0,188,37
20524028,41.97484,-87.78873,8,1.0,50.0,1,25,30,90,63
20536034,41.88652,-87.63143000000002,4,1.0,80.0,31,1125,14,2,1
20538542,41.88945,-87.63356999999998,6,2.0,205.0,30,1125,30,0,0
20543019,41.9141,-87.71081,7,1.0,160.0,1,30,15,140,39
20553228,41.85799,-87.69429000000002,1,1.0,29.0,1,1125,30,109,27
20554662,41.92574000000001,-87.70289,2,1.0,150.0,2,1125,0,3,0
20555663,41.93007,-87.71907,2,1.0,47.0,1,1125,0,84,0
20586078,41.92389,-87.72108,6,1.0,120.0,1,1125,26,120,49
20588561,42.00392,-87.66176,2,1.0,70.0,1,1125,0,29,1
20590201,41.95829000000001,-87.71152,1,1.0,35.0,3,1125,0,4,1
20591362,41.9511,-87.67948,2,1.0,65.0,1,4,0,22,0
20596340,41.75536,-87.64656,10,1.0,75.0,1,1125,30,72,18
20601137,41.81442,-87.61140999999998,4,1.0,130.0,1,29,22,135,39
20605570,41.78904,-87.63255,1,1.0,70.0,4,7,0,0,0
20606318,41.86338,-87.65581,2,2.0,70.0,1,5,0,3,0
20621687,41.93809,-87.66028,3,1.0,99.0,2,1125,0,13,2
20622848,41.89459,-87.65786999999996,2,1.0,89.0,2,4,18,96,21
20635267,41.9239,-87.67879,4,1.0,99.0,32,1124,0,87,3
20636276,41.90985,-87.69731999999998,2,1.5,200.0,2,120,30,43,0
20640570,41.71959,-87.67865,1,0.5,25.0,2,30,0,43,17
20647880,41.94364,-87.68443,5,1.0,129.0,3,1123,27,54,22
20649033,41.96877,-87.68337,2,1.0,125.0,2,1125,26,91,38
20650327,41.88285,-87.69136999999998,3,2.0,175.0,3,5,0,0,0
20650575,41.89543,-87.66369,15,4.0,365.0,1,1125,29,32,21
20654624,41.90651,-87.67226,6,2.0,250.0,3,90,0,80,41
20662575,41.9537,-87.70685,2,1.0,50.0,2,1125,30,39,12
20666176,41.92658,-87.71973,3,1.0,95.0,3,30,5,134,61
20666602,41.97863,-87.65869,4,1.0,300.0,2,7,0,2,2
20672624,41.92942,-87.64397,4,1.0,119.0,1,60,30,19,5
20677880,41.90901,-87.68935,1,1.0,29.0,1,1125,30,68,23
20678364,41.95479,-87.64721,4,1.0,100.0,2,1125,0,4,0
20679988,41.95405,-87.67771,6,1.0,100.0,1,150,29,76,27
20689785,41.79333,-87.5962,3,1.0,150.0,2,1125,0,36,9
20692024,41.88296,-87.70618,4,1.0,165.0,3,28,28,51,15
20709222,41.85262,-87.67806999999998,6,1.0,69.0,3,1124,7,102,32
20709328,41.97061,-87.65698,2,1.0,55.0,3,1125,0,74,19
20712959,41.93496,-87.67699,7,2.0,195.0,3,1125,29,95,35
20713577,41.95667,-87.69997,3,1.0,56.0,1,29,0,3,0
20722119,41.91853,-87.67518000000004,6,1.5,99.0,4,1124,5,124,40
20722881,41.94356,-87.67793,4,1.0,218.0,2,14,29,63,16
20729220,41.92135,-87.73131,6,1.0,109.0,30,1125,0,28,4
20737848,41.97248,-87.66466,4,2.0,150.0,1,90,0,211,87
20745744,41.90336,-87.62931999999998,5,1.0,200.0,3,1125,27,53,23
20756430,41.91244,-87.69856999999998,6,1.0,95.0,2,31,22,26,14
20756854,41.93497,-87.70638000000002,4,1.0,100.0,3,1125,0,11,6
20757313,41.95109,-87.65508,10,1.0,550.0,2,28,4,48,14
20760300,41.86084,-87.6241,2,1.0,75.0,1,7,0,58,0
20763621,41.85564,-87.69044,4,1.0,115.0,2,5,0,5,2
20773478,41.94089,-87.67004,6,2.0,150.0,30,1125,20,7,3
20774377,42.00377,-87.66486,3,1.0,35.0,7,1125,29,20,4
20775567,41.88222,-87.70416999999998,10,2.5,200.0,2,1125,7,32,9
20779421,41.9057,-87.63707,2,1.0,80.0,1,29,0,24,0
20780444,41.92536,-87.66736999999998,8,2.0,150.0,3,1125,0,65,17
20785021,41.93366,-87.70818,2,1.5,75.0,2,6,1,109,44
20796390,41.85624,-87.64198,5,1.0,159.0,1,365,27,143,48
20796999,41.93812,-87.72454,5,1.0,114.0,1,365,30,195,82
20798903,41.81342,-87.6112,3,1.0,30.0,1,29,30,71,29
20801988,41.84853,-87.64475,3,1.0,39.0,6,6,0,208,73
20802899,41.75515,-87.64845,2,1.0,55.0,1,1125,30,6,1
20811620,41.95653,-87.66717,6,2.0,300.0,2,1125,0,0,0
20814774,41.84926,-87.68083,5,1.0,99.0,2,1125,1,109,28
20817864,41.89936,-87.66826999999998,5,1.0,109.0,1,1125,28,145,44
20818822,41.85268,-87.68224000000002,10,1.5,118.0,1,1125,15,100,50
20828757,41.90223,-87.66911,4,1.0,99.0,1,30,23,118,39
20831848,41.93517,-87.6794,10,3.5,315.0,3,1125,27,42,8
20834078,41.85824,-87.69461,1,1.0,28.0,1,1125,30,109,31
20834660,41.8961,-87.66343,4,1.0,127.0,2,30,27,78,28
20836169,41.73532,-87.69493,4,1.5,46.0,2,5,0,0,0
20845184,41.89769,-87.66615,5,1.5,29.0,2,2,0,4,2
20846317,41.88726,-87.64956,6,1.0,178.0,1,1125,2,47,14
20860758,41.917,-87.68611,2,1.0,101.0,4,1124,19,41,16
20861901,41.91657,-87.68661,4,2.0,135.0,4,1124,21,45,17
20862404,41.96747,-87.67058,6,1.0,165.0,2,1125,27,94,39
20862938,41.95998,-87.67468000000002,4,1.0,115.0,1,1125,26,106,41
20868748,42.00629,-87.66826999999998,2,1.0,29.0,1,1125,30,20,4
20869579,42.00629,-87.66826999999998,2,1.0,25.0,1,1125,16,22,9
