id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,cta
11661652,3,41.8525,-87.63571999999998,8,1.0,179.0,0.0,80.0,0.0,1,1125,1,1125,30,340,158,39,2
39991723,0,41.98668,-87.69134,6,1.0,189.0,0.0,145.0,25.0,2,1125,2,1125,30,175,0,0,0
42922344,18,41.89053,-87.63407,6,2.0,172.0,0.0,129.0,0.0,2,299,10,299,19,169,0,0,10
21041179,21,41.84773,-87.64426,3,1.0,44.0,0.0,12.0,15.0,7,7,7,1125,0,0,191,60,1
42741224,0,41.909929999999996,-87.64014,16,3.0,400.0,400.0,90.0,70.0,1,1125,2,1125,7,7,2,2,3
38258027,2,41.95771,-87.64888,5,1.0,270.0,0.0,30.0,22.0,2,1125,2,1125,0,10,1,1,2
26940306,1,41.85546,-87.65881,2,1.0,95.0,0.0,15.0,0.0,2,1125,2,1125,25,166,88,47,2
26054160,82,41.87559,-87.64125,2,1.0,10.0,0.0,0.0,0.0,1,31,1,1125,3,285,154,75,9
13621242,9,41.88402,-87.69311,4,1.5,95.0,500.0,105.0,25.0,2,15,3,15,27,163,229,75,2
42743590,2,41.91515,-87.63543,3,1.0,129.0,0.0,70.0,0.0,2,1125,2,1125,0,261,0,0,1
42403867,3,41.91941,-87.65281999999998,3,1.0,300.0,0.0,49.0,0.0,1,1125,1,1125,30,253,1,1,3
