id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
34840808,1,41.91595,-87.64602,2,1.0,85.0,0.0,20.0,0.0,1,7,2,7,27,162,12,12
17859080,4,41.95453,-87.67557,10,2.0,516.0,0.0,100.0,0.0,2,1125,2,1125,28,315,49,20
12201564,2,41.93444,-87.67293000000002,8,4.5,450.0,2000.0,0.0,0.0,180,730,180,730,0,21,0,0
32738124,38,41.97321,-87.65485,4,1.0,150.0,0.0,100.0,25.0,2,28,4,1125,0,90,18,18
29516508,8,41.84919,-87.70031,4,1.0,55.0,0.0,25.0,0.0,1,1125,3,1125,29,100,98,76
20679988,1,41.95405,-87.67771,6,1.0,100.0,500.0,137.0,50.0,1,150,2,1125,29,192,76,27
30820481,4,41.95197,-87.65862,16,5.0,500.0,0.0,200.0,20.0,2,1125,2,1125,28,313,11,10
26813241,1,41.99674,-87.66304000000002,2,1.0,150.0,200.0,88.0,20.0,2,1125,2,1125,17,146,34,15
6953009,1,41.90603,-87.67556,4,1.0,110.0,150.0,50.0,15.0,1,25,1,25,0,0,247,38
35088121,4,41.78378,-87.59697,2,1.0,24.0,100.0,49.0,14.0,1,1125,1,1125,25,265,9,9
37628621,769,41.87187,-87.62434,2,1.0,107.0,400.0,70.0,5.0,4,1125,4,4,30,338,3,3
9384935,5,41.94786,-87.66014,6,1.0,299.0,500.0,150.0,0.0,3,120,30,120,29,338,11,2
38905198,6,41.87131,-87.69431999999998,8,2.0,180.0,0.0,260.0,0.0,1,1125,1,1125,22,172,0,0
24371533,769,41.88429,-87.66017,4,2.0,158.0,400.0,128.0,5.0,4,1124,4,4,23,27,10,10
40929961,7,41.79603,-87.66166,4,1.0,75.0,0.0,52.0,10.0,3,1125,3,1125,30,304,2,2
37751583,2,42.01005,-87.66327,2,1.0,49.0,0.0,0.0,13.0,5,366,5,366,0,309,7,7
29794929,1,41.90536,-87.69075,6,1.0,140.0,0.0,50.0,0.0,2,1125,2,1125,0,0,0,0
22582564,1,41.97733,-87.68869000000002,2,1.0,50.0,100.0,20.0,10.0,2,31,2,31,0,259,64,27
26029969,1,41.93655,-87.65484000000002,6,2.5,550.0,500.0,130.0,25.0,4,30,5,30,29,359,41,18
16742255,2,41.88331,-87.63058000000002,6,2.0,325.0,250.0,120.0,25.0,2,1125,2,1125,30,130,169,55
15216905,2,41.96538,-87.70073000000002,1,1.0,65.0,0.0,75.0,0.0,6,1125,6,1125,22,357,11,5
42142600,0,41.93789,-87.70111999999997,6,1.0,58.0,0.0,150.0,0.0,1,1125,1,1125,0,270,8,8
40841455,22,41.9145,-87.71047,4,1.0,500.0,0.0,50.0,0.0,1,180,7,180,20,355,7,7
42948512,6,41.8851,-87.63368,3,1.0,120.0,0.0,75.0,0.0,1,31,2,1125,19,49,0,0
22567457,1,41.80186,-87.59219,1,1.0,90.0,500.0,75.0,50.0,2,30,2,30,26,358,18,9
23455723,2,41.84902,-87.63512,2,1.0,105.0,0.0,40.0,30.0,4,18,4,1125,29,269,25,8
42076541,26,41.85466,-87.62572,4,1.0,500.0,0.0,75.0,0.0,1,30,4,30,0,116,0,0
32741575,3,41.9725,-87.66488000000003,4,1.0,52.0,0.0,65.0,0.0,3,25,3,25,0,50,81,73
30771810,3,41.94042,-87.67976,6,1.0,125.0,1500.0,95.0,30.0,1,1125,2,1125,30,83,92,69
38192212,8,41.91238,-87.68051,16,3.0,399.0,600.0,150.0,0.0,1,1125,2,1125,27,36,17,17
