id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
264547,1,41.88467,-87.64487,3,1.5,195.0,750.0,80.0,50.0,10,180,10,180,27,362,65,4,237.0,64.0,64.0,1.0,6.0,5.39
267646,1,41.92716,-87.70470999999998,2,1.0,97.0,200.0,33.0,33.0,2,365,2,365,0,205,139,11,84.0,37.0,19.0,0.0,2.0,5.33
275496,1,41.88623,-87.6404,6,2.0,175.0,0.0,25.0,10.0,360,760,360,760,29,364,10,0,329.0,100.0,88.0,1.0,10.0,2.89
289689,1,41.977940000000004,-87.65764,1,1.0,26.0,0.0,0.0,0.0,30,1125,30,1125,22,231,61,3,56.0,16.0,17.0,0.0,4.0,1.23
289884,2,41.920629999999996,-87.68353,4,2.0,125.0,100.0,50.0,20.0,1,1124,1,1124,30,365,84,6,48.0,27.0,14.0,0.0,1.0,11.06
290155,2,41.82702000000001,-87.63967,6,1.5,130.0,200.0,0.0,0.0,3,90,5,1125,0,0,53,14,5.0,11.0,4.0,0.0,1.0,16.96
312192,2,41.82741,-87.63934,6,1.5,146.0,200.0,0.0,0.0,4,120,5,1125,0,0,39,8,5.0,11.0,5.0,0.0,1.0,17.15
313227,1,41.96331,-87.70916,2,1.0,85.0,100.0,75.0,0.0,3,7,3,7,0,118,47,0,9.0,9.0,5.0,0.0,3.0,4.15
345075,2,41.8077,-87.59436,2,1.0,85.0,200.0,20.0,20.0,2,8,2,8,26,336,232,18,22.0,4.0,4.0,0.0,0.0,31.05
349265,2,41.80086,-87.58948000000002,7,2.0,195.0,0.0,150.0,50.0,7,90,7,90,13,348,8,0,34.0,7.0,7.0,3.0,0.0,32.86
350347,1,41.939859999999996,-87.65473,4,2.0,136.0,150.0,100.0,0.0,3,14,3,1125,23,322,482,58,137.0,87.0,38.0,0.0,5.0,1.3
372929,3,41.89862,-87.65597,12,3.0,295.0,500.0,100.0,25.0,1,360,5,360,30,347,212,21,49.0,16.0,12.0,0.0,3.0,5.26
395257,18,41.82869,-87.62058,2,1.0,35.0,200.0,100.0,5.0,1,1125,1,1125,30,180,19,8,4.0,1.0,4.0,1.0,3.0,11.31
397472,1,42.01455,-87.66511,4,1.0,71.0,200.0,0.0,20.0,10,1000,10,1125,19,58,428,72,21.0,10.0,6.0,0.0,3.0,4.81
404792,3,41.88913,-87.66763,3,1.0,130.0,0.0,75.0,15.0,3,365,3,365,0,112,187,13,67.0,25.0,12.0,0.0,1.0,8.0
412182,2,41.91891,-87.69901999999998,4,1.0,69.0,0.0,25.0,20.0,2,1125,2,1125,21,23,143,26,91.0,35.0,20.0,0.0,2.0,5.88
422214,1,41.89843,-87.66659,16,4.0,250.0,500.0,125.0,25.0,3,90,3,90,29,349,131,14,100.0,32.0,27.0,0.0,2.0,8.67
446474,1,41.90095,-87.68181,5,2.0,175.0,0.0,80.0,20.0,3,60,3,60,0,265,4,0,96.0,38.0,27.0,0.0,1.0,16.08
450648,1,41.86614,-87.62275,2,1.0,119.0,200.0,75.0,35.0,3,1125,3,1125,0,112,38,0,34.0,17.0,17.0,0.0,2.0,5.55
464581,3,41.92451,-87.69385,4,1.0,49.0,0.0,49.0,15.0,2,360,7,1125,9,81,622,75,84.0,32.0,20.0,0.0,2.0,6.54
484898,1,41.97053,-87.67267,6,1.5,225.0,100.0,100.0,20.0,3,30,3,30,0,0,14,0,40.0,15.0,13.0,0.0,2.0,11.78
488097,1,41.91173,-87.6731,2,1.0,60.0,500.0,0.0,0.0,3,180,3,180,0,141,19,5,123.0,37.0,34.0,0.0,2.0,6.63
496809,3,42.00435,-87.67501,2,1.0,85.0,0.0,25.0,20.0,3,90,3,90,16,329,36,0,28.0,10.0,4.0,0.0,1.0,16.45
507517,1,41.96714,-87.69611,4,1.0,95.0,0.0,50.0,10.0,2,30,2,30,0,285,284,26,32.0,13.0,17.0,0.0,3.0,3.61
533831,2,41.91269000000001,-87.6425,8,2.5,280.0,250.0,145.0,45.0,2,365,4,1125,30,165,55,4,96.0,37.0,24.0,0.0,4.0,8.66
537419,2,41.942859999999996,-87.63919,1,1.0,130.0,500.0,25.0,25.0,1,30,1,30,30,365,28,0,64.0,34.0,18.0,0.0,0.0,18.24
542067,1,41.93142,-87.69989,4,1.0,125.0,0.0,40.0,25.0,3,31,3,31,0,325,260,17,80.0,40.0,18.0,0.0,1.0,10.51
548905,2,41.82293,-87.61559,3,1.0,85.0,350.0,50.0,15.0,2,32,2,32,15,341,227,19,1.0,1.0,3.0,0.0,2.0,10.18
573540,2,41.942840000000004,-87.63919,3,2.0,490.0,800.0,25.0,30.0,1,1125,1,1125,30,365,35,0,64.0,34.0,18.0,0.0,0.0,18.27
584590,4,41.96425,-87.68359,2,1.0,75.0,0.0,30.0,10.0,1,90,3,90,30,180,43,1,52.0,20.0,21.0,0.0,4.0,8.92
585353,6,41.88961,-87.66268000000002,3,2.0,42.0,150.0,25.0,20.0,1,60,1,60,0,284,127,15,92.0,30.0,18.0,0.0,3.0,13.31
585356,6,41.890029999999996,-87.66241,4,2.0,74.0,150.0,30.0,35.0,1,60,1,60,30,349,143,28,94.0,27.0,17.0,0.0,3.0,13.44
589939,6,41.89054,-87.66261,4,2.0,56.0,150.0,25.0,20.0,1,60,1,60,29,364,66,11,90.0,27.0,17.0,0.0,3.0,13.97
611839,1,41.93537,-87.67945999999998,1,1.0,42.0,0.0,30.0,0.0,2,60,2,1125,0,0,160,33,28.0,17.0,7.0,0.0,1.0,19.9
628149,6,41.89056,-87.66086,2,2.0,63.0,100.0,20.0,20.0,1,125,1,125,30,362,96,19,113.0,32.0,17.0,0.0,3.0,13.06
634310,2,41.99667,-87.66213,2,1.0,65.0,250.0,0.0,15.0,2,1125,2,1125,30,357,81,1,28.0,12.0,18.0,0.0,3.0,6.88
640841,2,41.94242,-87.67134,4,2.5,200.0,300.0,80.0,50.0,3,14,5,1125,30,229,46,25,49.0,27.0,13.0,0.0,3.0,2.38
642053,11,41.90567,-87.67311,4,1.0,81.0,0.0,35.0,0.0,2,365,3,365,30,136,11,3,119.0,33.0,36.0,0.0,2.0,7.64
642065,11,41.906859999999995,-87.67319,4,1.0,113.0,0.0,50.0,0.0,2,365,3,365,30,136,39,8,123.0,36.0,35.0,0.0,2.0,5.54
651742,2,41.99244,-87.75569,2,1.0,75.0,0.0,0.0,0.0,2,180,2,180,21,356,66,15,5.0,1.0,3.0,0.0,0.0,40.87
662034,2,41.99201,-87.75719000000002,2,1.0,65.0,0.0,0.0,0.0,2,180,2,180,29,364,66,15,6.0,1.0,3.0,0.0,0.0,43.05
681842,2,41.99348,-87.68121,1,1.0,50.0,200.0,9.0,40.0,3,10,3,10,28,363,26,5,22.0,5.0,3.0,0.0,0.0,26.89
697634,2,41.90302,-87.63499,4,1.0,99.0,300.0,95.0,0.0,31,1125,31,1125,0,0,150,3,149.0,45.0,46.0,2.0,3.0,4.96
699284,1,41.92929,-87.64895,12,3.0,800.0,1000.0,200.0,25.0,3,365,3,365,28,363,44,1,104.0,56.0,35.0,2.0,3.0,9.1
724895,6,41.889990000000004,-87.66096,2,2.0,44.0,100.0,20.0,15.0,1,30,1,30,30,336,130,20,110.0,31.0,18.0,0.0,3.0,11.89
726376,5,41.93932,-87.65218,2,1.0,85.0,0.0,0.0,15.0,7,65,7,65,28,37,623,60,135.0,82.0,37.0,0.0,5.0,1.82
727847,3,41.92255,-87.70293000000002,2,1.0,60.0,0.0,30.0,20.0,2,365,2,1125,30,365,73,8,85.0,36.0,21.0,0.0,2.0,5.94
731232,0,41.92669,-87.699,5,1.0,90.0,0.0,40.0,20.0,2,365,2,365,27,344,134,18,94.0,41.0,21.0,0.0,2.0,7.41
739495,1,41.97847,-87.68087,4,1.0,75.0,0.0,70.0,25.0,4,30,4,30,29,221,186,24,18.0,7.0,10.0,0.0,0.0,20.14
753809,81,41.88624,-87.61565999999998,3,1.0,94.0,0.0,80.0,0.0,31,1122,31,1122,30,365,13,0,133.0,42.0,72.0,2.0,4.0,14.53
755701,4,41.929970000000004,-87.72061,5,1.0,135.0,0.0,200.0,50.0,5,1125,5,1125,0,235,19,0,39.0,15.0,6.0,0.0,2.0,15.21
764856,3,41.886759999999995,-87.64935,2,1.0,159.0,200.0,35.0,0.0,2,120,2,120,29,154,235,60,187.0,49.0,42.0,0.0,3.0,3.91
773127,2,41.94994000000001,-87.682,2,2.0,84.0,0.0,20.0,25.0,2,14,2,14,0,0,128,0,26.0,26.0,13.0,1.0,3.0,10.57
789429,3,41.961929999999995,-87.66238,2,1.0,99.0,100.0,40.0,20.0,365,365,365,365,30,365,0,0,25.0,21.0,13.0,0.0,3.0,7.91
789867,1,41.96437,-87.67398,3,1.0,20.0,0.0,10.0,10.0,2,22,2,1125,30,90,220,40,46.0,19.0,13.0,0.0,2.0,4.83
790016,3,41.96046,-87.66346,5,2.0,299.0,200.0,60.0,30.0,365,365,365,365,30,365,16,0,30.0,22.0,16.0,0.0,5.0,16.31
790934,16,42.016529999999996,-87.68788,2,2.0,70.0,100.0,12.0,10.0,1,3,1,3,30,180,139,5,10.0,7.0,1.0,0.0,0.0,22.14
802613,2,41.92285,-87.68323000000002,4,2.0,175.0,300.0,100.0,25.0,1,1125,1,1125,29,364,57,1,45.0,26.0,13.0,0.0,1.0,14.31
810974,1,42.00184,-87.66951,2,1.0,50.0,0.0,20.0,20.0,2,30,2,30,30,365,114,23,39.0,16.0,15.0,0.0,3.0,8.6
818109,5,41.89513,-87.67399999999998,3,1.0,80.0,0.0,45.0,10.0,7,160,30,160,30,118,18,10,92.0,34.0,27.0,0.0,1.0,17.87
