id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,CTA,walk_distance
33682173,2,41.88252,-87.68061999999998,2,1.0,60.0,0.0,25.0,0.0,1,364,1,1125,29,162,53,53,14,7,4,0,2,1011.8
37272774,1420,41.88347,-87.6506,2,1.0,133.0,0.0,250.0,0.0,30,1125,730,1125,0,323,0,0,185,44,40,0,5,220.37
41813047,0,41.78717,-87.57935,4,0.0,300.0,0.0,0.0,0.0,1,1125,1,1125,22,172,0,0,11,1,1,1,0,4969.9
39104744,0,41.88276,-87.77118,8,1.5,600.0,250.0,150.0,0.0,2,28,2,28,30,353,8,8,1,2,0,0,2,538.52
32183730,8,41.75671,-87.64676,2,1.0,75.0,0.0,25.0,25.0,1,1125,1,1125,30,365,5,5,1,0,0,0,0,4071.79
26776933,5,41.92027,-87.7784,2,1.0,75.0,100.0,50.0,50.0,2,30,2,30,30,365,6,2,2,0,0,0,0,5548.45
33022753,1,41.81245,-87.72822,4,1.0,85.0,100.0,60.0,10.0,1,15,1,1125,15,345,28,27,2,4,1,0,0,5513.66
41391608,1420,41.94041,-87.6415,2,1.0,110.0,0.0,250.0,0.0,30,1125,730,1125,3,338,0,0,89,39,23,0,3,828.46
4881981,4,41.90231,-87.63408000000004,2,1.0,59.0,0.0,0.0,10.0,30,45,30,45,0,0,3,0,163,52,56,2,3,291.62
39175226,0,41.882329999999996,-87.69789,4,1.0,120.0,0.0,45.0,0.0,2,60,2,1125,21,313,20,20,3,0,2,0,4,292.02
21252535,8,42.01148,-87.66314,2,2.5,40.0,0.0,0.0,0.0,1,14,1,14,27,78,136,22,27,10,9,0,3,442.58
38489852,10,41.89889,-87.6685,8,1.0,450.0,0.0,40.0,20.0,1,90,5,1125,26,54,6,6,105,32,26,0,1,446.4
14857315,9,41.739670000000004,-87.5639,2,2.0,20.0,0.0,0.0,20.0,29,1125,29,1125,29,364,8,4,2,0,1,0,0,5777.8
33804619,13,41.90426,-87.67034,4,1.0,123.0,0.0,45.0,15.0,1,1125,2,1125,30,358,37,36,142,43,38,0,2,289.46
30061803,2,41.894529999999996,-87.67034,8,1.5,79.0,500.0,109.0,25.0,3,1125,3,1125,0,321,58,43,89,35,25,0,1,893.57
8702851,1,41.85671,-87.65477,2,1.0,80.0,0.0,0.0,30.0,1,13,1,13,0,0,112,19,35,11,9,0,0,2883.43
40451316,39,41.88358,-87.68635,2,3.5,14.0,500.0,60.0,50.0,32,1125,32,1125,30,365,0,0,11,1,3,0,2,792.68
9797971,3,41.88069,-87.68368000000002,10,2.5,199.0,300.0,70.0,10.0,2,90,3,1125,30,218,241,67,7,4,5,0,2,751.59
24098513,6,41.9492,-87.65531999999996,9,1.0,750.0,0.0,165.0,50.0,5,1125,5,1125,29,323,96,34,78,60,19,0,3,206.12
727847,3,41.92255,-87.70293000000002,2,1.0,60.0,0.0,30.0,20.0,2,365,2,1125,30,365,73,8,85,36,21,0,2,356.6
41842082,0,41.97627,-87.80113,4,1.0,85.0,0.0,60.0,15.0,1,1125,1,1125,1,49,3,3,6,0,1,0,1,870.2
166706,8,41.942209999999996,-87.67327,8,2.0,280.0,300.0,50.0,25.0,3,365,3,365,30,365,22,1,44,26,13,0,3,270.15
25998254,1,41.921209999999995,-87.68263,1,1.0,250.0,1200.0,35.0,0.0,2,1125,2,1125,29,364,9,4,47,28,13,0,1,757.91
31859640,104,41.893370000000004,-87.61678,8,3.0,299.0,0.0,143.0,0.0,3,1125,3,1125,24,313,27,18,188,59,92,4,4,813.52
11661652,3,41.8525,-87.63571999999998,8,1.0,179.0,0.0,80.0,0.0,1,1125,1,1125,30,340,158,39,39,14,10,0,2,323.56
39991723,0,41.98668,-87.69134,6,1.0,189.0,0.0,145.0,25.0,2,1125,2,1125,30,175,0,0,2,6,5,0,0,4883.85
42922344,18,41.89053,-87.63407,6,2.0,172.0,0.0,129.0,0.0,2,299,10,299,19,169,0,0,353,105,114,4,10,145.89
21041179,21,41.84773,-87.64426,3,1.0,44.0,0.0,12.0,15.0,7,7,7,1125,0,0,191,60,20,7,6,0,1,273.24
42741224,0,41.909929999999996,-87.64014,16,3.0,400.0,400.0,90.0,70.0,1,1125,2,1125,7,7,2,2,91,44,18,0,3,178.68
38258027,2,41.95771,-87.64888,5,1.0,270.0,0.0,30.0,22.0,2,1125,2,1125,0,10,1,1,14,15,11,0,2,673.4
26940306,1,41.85546,-87.65881,2,1.0,95.0,0.0,15.0,0.0,2,1125,2,1125,25,166,88,47,26,8,12,0,2,810.11
26054160,82,41.87559,-87.64125,2,1.0,10.0,0.0,0.0,0.0,1,31,1,1125,3,285,154,75,131,29,53,1,9,0.57
13621242,9,41.88402,-87.69311,4,1.5,95.0,500.0,105.0,25.0,2,15,3,15,27,163,229,75,8,0,1,0,2,277.01
42743590,2,41.91515,-87.63543,3,1.0,129.0,0.0,70.0,0.0,2,1125,2,1125,0,261,0,0,54,28,15,0,1,570.24
42403867,3,41.91941,-87.65281999999998,3,1.0,300.0,0.0,49.0,0.0,1,1125,1,1125,30,253,1,1,90,34,23,2,3,189.63
